Column2,Column3,Column4,Column5,Column6,Column7,Column8
2010-02-21,9,13,17,37,42,45
2010-02-23,11,19,22,24,32,41
2010-02-24,2,9,21,25,31,40
2010-02-27,7,23,24,40,47,54
2010-02-28,14,27,28,38,41,47
2010-03-02,1,11,32,42,43,52
2010-03-03,7,13,21,23,34,35
2010-03-06,11,12,29,31,36,45
2010-03-07,3,6,24,29,44,55
2010-03-10,25,28,34,36,40,43
2010-03-13,1,28,42,43,44,49
2010-03-14,1,3,4,12,15,21
2010-03-17,4,6,7,11,14,47
2010-03-20,25,33,34,41,43,54
2010-03-21,7,16,38,44,49,54
2010-03-24,13,15,16,21,36,37
2010-03-27,4,9,37,39,45,47
2010-03-28,2,16,22,34,37,50
2010-03-30,2,4,28,29,33,37
2010-03-31,8,21,23,27,28,38
2010-04-03,9,11,26,27,45,46
2010-04-04,3,4,8,30,31,41
2010-04-06,6,11,12,27,34,52
2010-04-07,6,10,38,39,43,53
2010-04-10,3,12,22,24,39,49
2010-04-11,3,8,9,10,23,35
2010-04-14,10,17,27,31,39,40
2010-04-17,11,13,15,49,52,55
2010-04-18,18,22,32,47,48,53
2010-04-21,4,7,9,29,31,33
2010-04-24,4,6,8,23,39,52
2010-04-25,2,8,13,36,49,52
2010-04-27,13,15,18,35,46,50
2010-04-28,2,28,30,42,45,48
2010-05-01,13,15,20,22,38,50
2010-05-02,10,13,29,33,38,46
2010-05-04,8,17,20,21,32,50
2010-05-05,5,23,27,30,49,54
2010-05-08,12,35,36,44,52,53
2010-05-09,3,6,26,37,40,42
2010-05-12,16,21,35,41,43,46
2010-05-15,1,13,22,36,39,53
2010-05-16,20,21,23,26,29,46
2010-05-19,4,10,11,37,42,49
2010-05-22,19,20,35,36,40,45
2010-05-23,3,5,10,20,21,43
2010-05-26,6,18,27,38,50,55
2010-05-29,8,12,35,47,48,52
2010-05-30,5,11,15,26,43,51
2010-06-01,2,7,11,21,25,52
2010-06-02,7,12,19,21,27,43
2010-06-05,13,20,34,39,42,45
2010-06-06,7,35,39,45,46,51
2010-06-09,9,23,26,33,34,35
2010-06-12,6,18,24,26,45,49
2010-06-13,9,19,20,26,27,37
2010-06-16,16,17,21,23,45,54
2010-06-19,5,9,18,19,29,39
2010-06-20,4,14,25,41,45,55
2010-06-23,14,15,43,44,48,50
2010-06-26,1,3,32,41,51,55
2010-06-27,3,10,16,32,33,41
2010-06-29,7,16,18,24,45,51
2010-06-30,3,8,13,22,40,55
2010-07-03,4,8,31,33,40,52
2010-07-04,21,25,27,34,50,55
2010-07-06,9,10,28,35,54,55
2010-07-07,2,5,7,29,33,54
2010-07-10,1,6,7,14,22,32
2010-07-11,4,16,17,21,47,50
2010-07-14,14,18,25,43,54,55
2010-07-17,3,7,8,18,49,52
2010-07-18,2,24,25,29,38,55
2010-07-21,1,3,13,16,20,48
2010-07-24,10,15,21,30,32,43
2010-07-25,1,14,21,22,35,43
2010-07-27,1,4,25,39,43,51
2010-07-28,3,9,20,25,26,36
2010-07-31,18,22,42,43,45,46
2010-08-01,10,14,20,21,38,52
2010-08-03,1,11,12,22,43,55
2010-08-04,4,11,13,24,27,41
2010-08-07,10,15,17,18,39,51
2010-08-08,1,8,23,43,51,53
2010-08-11,10,23,36,38,40,46
2010-08-14,2,4,15,19,34,48
2010-08-15,6,19,23,29,37,42
2010-08-18,11,14,19,20,25,52
2010-08-21,7,13,15,19,22,48
2010-08-22,2,6,14,16,18,27
2010-08-25,12,16,28,39,40,47
2010-08-28,22,23,27,28,38,54
2010-08-29,3,8,18,25,27,43
2010-09-01,4,16,33,35,37,42
2010-09-04,2,7,21,33,47,50
2010-09-05,1,23,31,39,43,46
2010-09-08,7,19,20,31,35,43
2010-09-11,9,13,21,29,40,42
2010-09-12,3,4,7,12,29,32
2010-09-15,19,20,34,37,48,55
2010-09-18,8,20,30,40,49,53
2010-09-19,2,15,34,41,46,52
2010-09-22,13,14,22,32,38,43
2010-09-25,10,17,26,28,42,55
2010-09-26,7,13,26,29,48,54
2010-09-28,4,5,10,17,38,43
2010-09-29,22,29,34,47,48,50
2010-10-02,1,4,8,21,29,55
2010-10-03,1,25,31,39,44,45
2010-10-05,17,21,27,43,46,55
2010-10-06,2,8,22,31,48,53
2010-10-09,15,17,37,39,48,54
2010-10-10,18,20,22,31,34,52
2010-10-13,1,2,14,34,41,49
2010-10-16,1,15,21,27,29,51
2010-10-17,8,11,28,36,38,53
2010-10-20,1,4,5,24,37,49
2010-10-23,22,24,26,30,37,46
2010-10-24,2,4,21,28,53,54
2010-10-26,4,7,28,37,42,50
2010-10-27,1,38,39,46,49,50
2010-10-30,2,18,22,25,46,50
2010-10-31,4,7,21,27,45,53
2010-11-02,1,11,15,23,35,36
2010-11-03,17,27,31,38,47,52
2010-11-06,1,2,24,34,38,47
2010-11-07,7,12,16,21,50,55
2010-11-10,4,7,9,14,23,49
2010-11-13,3,18,24,33,44,53
2010-11-14,8,17,29,36,44,48
2010-11-17,13,16,28,38,39,55
2010-11-20,9,11,22,43,47,54
2010-11-21,4,22,28,43,48,55
2010-11-24,34,36,44,45,48,51
2010-11-27,1,11,14,23,47,52
2010-11-28,19,22,23,25,31,33
2010-11-30,5,12,15,20,21,33
2010-12-01,11,18,23,33,39,54
2010-12-04,3,10,11,13,27,47
2010-12-05,4,21,23,27,35,36
2010-12-08,9,13,27,29,32,42
2010-12-11,3,15,22,33,42,44
2010-12-12,7,10,21,24,26,53
2010-12-15,10,28,30,33,34,53
2010-12-18,20,32,38,43,50,55
2010-12-19,3,13,15,16,18,46
2010-12-22,15,22,34,35,36,53
2010-12-25,3,8,16,31,44,47
2010-12-26,18,37,41,42,43,52
2010-12-28,1,7,18,46,47,54
2010-12-29,8,13,17,33,45,49
2011-01-01,6,7,32,33,42,51
2011-01-02,10,22,29,35,51,54
2011-01-05,8,28,36,39,44,47
2011-01-08,3,5,27,47,51,53
2011-01-09,15,16,24,30,46,49
2011-01-12,8,13,31,32,38,54
2011-01-15,9,12,20,34,44,51
2011-01-16,11,23,39,44,48,51
2011-01-19,11,18,19,22,33,36
2011-01-22,6,14,19,26,32,36
2011-01-23,4,20,36,37,42,44
2011-01-25,2,7,10,14,36,46
2011-01-26,1,16,35,44,51,55
2011-01-29,2,5,13,15,28,46
2011-01-30,27,30,32,36,39,47
2011-02-01,5,7,14,23,46,55
2011-02-02,5,6,8,24,27,38
2011-02-05,25,27,29,35,51,53
2011-02-06,2,15,19,24,30,55
2011-02-08,4,6,18,20,31,32
2011-02-09,2,5,11,28,31,42
2011-02-12,13,17,36,47,53,54
2011-02-13,2,9,22,32,45,55
2011-02-16,8,30,39,44,49,55
2011-02-19,1,6,16,27,33,41
2011-02-20,2,18,23,24,27,34
2011-02-22,20,29,36,38,47,48
2011-02-23,1,3,18,19,39,40
2011-02-26,7,21,28,33,42,53
2011-02-27,17,19,32,42,44,46
2011-03-01,8,9,22,38,43,47
2011-03-02,5,27,29,40,51,52
2011-03-05,7,33,45,47,48,55
2011-03-06,14,15,23,27,34,51
2011-03-09,11,15,20,29,47,48
2011-03-12,2,13,15,19,27,45
2011-03-13,34,36,42,43,52,54
2011-03-16,4,23,25,41,52,55
2011-03-19,14,15,29,32,46,53
2011-03-20,3,8,17,20,25,54
2011-03-23,6,24,25,35,42,44
2011-03-26,13,18,26,27,35,55
2011-03-27,4,9,10,18,43,46
2011-03-29,9,15,27,40,52,55
2011-03-30,4,23,34,38,39,49
2011-04-02,2,13,24,33,39,41
2011-04-03,9,19,22,23,27,36
2011-04-05,4,17,21,29,35,54
2011-04-06,1,10,15,24,35,40
2011-04-09,4,10,25,41,50,55
2011-04-10,10,12,18,29,38,43
2011-04-13,3,5,16,18,45,54
2011-04-16,15,25,27,30,34,41
2011-04-17,9,11,19,21,23,30
2011-04-20,2,18,29,45,47,52
2011-04-23,29,36,37,42,44,46
2011-04-24,4,5,10,21,35,43
2011-04-26,2,13,22,27,39,44
2011-04-27,1,6,37,40,46,50
2011-04-30,7,20,30,35,48,51
2011-05-01,4,7,12,22,31,49
2011-05-03,9,15,22,26,31,46
2011-05-04,4,7,8,30,37,39
2011-05-07,1,6,9,17,19,53
2011-05-08,11,20,27,31,32,51
2011-05-11,5,6,10,18,44,48
2011-05-14,7,11,14,26,27,45
2011-05-15,1,8,22,40,46,55
2011-05-18,23,32,33,38,45,47
2011-05-21,6,11,17,29,46,50
2011-05-22,7,22,45,47,49,53
2011-05-25,7,11,20,29,51,52
2011-05-28,3,7,16,21,37,49
2011-05-29,17,28,33,34,44,55
2011-05-31,1,25,26,33,38,39
2011-06-01,18,19,39,42,46,49
2011-06-04,7,14,18,29,40,53
2011-06-05,14,18,29,33,48,55
2011-06-08,2,16,17,25,40,44
2011-06-11,11,12,13,35,36,48
2011-06-12,3,10,22,26,29,43
2011-06-15,7,10,11,21,33,36
2011-06-18,8,12,17,18,22,46
2011-06-19,8,20,34,38,40,54
2011-06-22,9,14,18,23,41,44
2011-06-25,8,25,37,41,47,53
2011-06-26,11,14,22,26,27,29
2011-06-28,8,11,14,27,33,46
2011-06-29,13,16,30,38,41,50
2011-07-02,3,8,9,27,46,52
2011-07-03,3,19,20,31,33,44
2011-07-05,12,16,23,42,50,53
2011-07-06,9,19,23,42,51,54
2011-07-09,5,11,15,34,39,46
2011-07-10,1,5,9,11,24,33
2011-07-13,2,9,30,40,47,54
2011-07-16,5,8,24,25,38,48
2011-07-17,1,6,18,26,29,36
2011-07-20,11,20,31,41,46,49
2011-07-23,4,6,23,41,44,53
2011-07-24,5,11,18,22,28,50
2011-07-27,4,20,37,46,50,55
2011-07-30,9,20,33,34,43,51
2011-07-31,22,33,37,40,45,51
2011-08-03,17,25,34,39,40,46
2011-08-06,14,19,35,40,44,48
2011-08-07,7,12,22,37,53,54
2011-08-10,4,10,14,15,22,53
2011-08-13,2,13,16,18,19,24
2011-08-14,6,7,29,35,44,48
2011-08-17,2,18,36,49,51,52
2011-08-20,3,8,9,25,27,54
2011-08-21,5,7,9,28,36,46
2011-08-24,4,7,18,24,51,53
2011-08-27,6,15,27,37,42,48
2011-08-28,2,6,16,22,24,30
2011-08-31,7,10,15,34,41,46
2011-09-03,6,29,31,40,48,55
2011-09-04,16,24,27,28,30,33
2011-09-06,4,24,41,50,52,54
2011-09-07,7,23,26,29,33,37
2011-09-10,7,15,31,33,35,43
2011-09-11,1,3,13,37,43,53
2011-09-14,2,7,14,30,42,44
2011-09-17,2,26,27,32,38,49
2011-09-18,9,10,39,44,49,52
2011-09-21,8,12,23,36,41,48
2011-09-24,3,17,39,42,45,49
2011-09-25,14,15,22,38,41,53
2011-09-27,5,21,29,39,51,55
2011-09-28,5,19,28,46,47,51
2011-10-01,9,11,26,32,35,46
2011-10-02,8,13,22,26,40,51
2011-10-04,1,2,4,24,41,53
2011-10-05,7,20,21,31,44,47
2011-10-08,4,7,20,34,47,53
2011-10-09,4,5,28,33,40,48
2011-10-12,4,11,26,34,35,37
2011-10-15,8,14,15,19,30,44
2011-10-16,29,31,32,42,48,49
2011-10-19,8,9,22,25,52,53
2011-10-22,7,8,17,37,52,54
2011-10-23,8,11,31,32,33,39
2011-10-25,9,11,30,31,50,53
2011-10-26,10,12,15,43,44,53
2011-10-29,1,5,14,45,46,52
2011-10-30,18,23,29,32,40,44
2011-11-01,4,19,26,28,30,51
2011-11-02,1,3,6,35,40,51
2011-11-05,4,11,12,23,33,52
2011-11-06,4,11,14,22,27,48
2011-11-09,8,22,42,44,48,55
2011-11-12,3,5,26,29,52,53
2011-11-13,14,21,24,40,46,52
2011-11-16,9,11,15,38,43,44
2011-11-19,16,17,27,29,34,49
2011-11-20,19,21,30,38,39,47
2011-11-23,3,18,22,52,53,55
2011-11-26,2,4,31,40,45,53
2011-11-27,4,10,18,22,31,43
2011-11-29,2,5,11,17,38,55
2011-11-30,9,10,12,14,31,41
2011-12-03,15,20,33,38,41,50
2011-12-04,7,9,24,33,49,50
2011-12-06,15,16,20,39,52,54
2011-12-07,14,40,44,45,47,51
2011-12-10,9,11,29,47,51,53
2011-12-11,2,8,14,21,37,39
2011-12-14,13,21,22,27,38,51
2011-12-17,14,27,30,47,49,52
2011-12-18,21,28,31,47,50,51
2011-12-21,17,30,42,43,48,52
2011-12-24,3,7,8,19,46,51
2011-12-25,2,7,19,29,30,41
2011-12-27,11,17,38,47,49,55
2011-12-28,21,23,37,44,50,51
2011-12-31,14,23,27,30,36,39
2012-01-01,6,12,16,17,30,50
2012-01-04,1,15,21,28,39,43
2012-01-07,2,18,22,34,42,43
2012-01-08,5,12,19,22,47,48
2012-01-11,2,20,23,26,40,43
2012-01-14,9,33,37,39,48,50
2012-01-15,21,27,43,51,52,53
2012-01-17,15,21,43,45,47,49
2012-01-18,14,17,18,32,38,39
2012-01-21,5,16,21,23,41,49
2012-01-22,3,7,23,46,48,52
2012-01-24,8,9,33,35,36,42
2012-01-25,3,21,25,32,36,42
2012-01-28,27,44,45,47,49,55
2012-01-29,4,20,24,27,35,52
2012-01-31,2,6,9,33,41,43
2012-02-01,11,29,36,40,43,51
2012-02-04,2,7,15,19,30,38
2012-02-05,10,14,19,40,41,51
2012-02-08,4,35,36,39,42,55
2012-02-11,11,18,21,24,25,40
2012-02-12,12,37,38,41,46,49
2012-02-14,2,11,30,36,42,52
2012-02-15,6,26,28,32,36,42
2012-02-18,9,22,25,33,40,49
2012-02-19,8,25,36,49,51,52
2012-02-22,14,16,25,28,37,41
2012-02-25,11,14,25,30,34,49
2012-02-26,18,30,35,42,44,50
2012-02-28,1,13,26,32,39,45
2012-02-29,16,18,26,31,46,55
2012-03-03,4,15,16,22,36,43
2012-03-04,4,15,28,36,43,50
2012-03-07,2,9,22,27,32,33
2012-03-10,5,8,28,31,32,47
2012-03-11,6,17,25,32,35,52
2012-03-14,10,12,31,36,50,51
2012-03-17,1,2,4,17,21,53
2012-03-18,3,11,13,20,44,55
2012-03-20,2,9,11,39,53,54
2012-03-21,9,11,17,22,23,27
2012-03-24,1,10,15,29,32,44
2012-03-25,9,11,26,28,36,45
2012-03-28,8,11,27,45,53,55
2012-03-31,1,28,39,41,50,51
2012-04-01,1,16,22,34,39,48
2012-04-03,2,5,11,23,39,43
2012-04-04,5,11,28,34,40,50
2012-04-07,11,17,24,34,46,50
2012-04-08,11,12,21,28,38,41
2012-04-11,9,14,17,22,40,52
2012-04-14,13,18,31,36,45,50
2012-04-15,1,4,5,17,35,55
2012-04-17,10,18,22,25,37,51
2012-04-18,16,18,36,43,49,50
2012-04-21,9,15,18,34,36,41
2012-04-22,10,18,27,33,40,50
2012-04-25,8,12,27,39,49,54
2012-04-28,9,19,20,27,37,42
2012-04-29,2,6,16,27,39,53
2012-05-02,7,22,32,44,50,53
2012-05-05,4,23,26,38,44,48
2012-05-06,2,8,9,30,32,49
2012-05-08,9,10,32,33,53,55
2012-05-09,1,5,11,24,28,50
2012-05-12,1,12,24,31,34,36
2012-05-13,5,10,19,20,24,49
2012-05-16,12,16,19,24,35,39
2012-05-19,6,16,17,26,32,36
2012-05-20,5,17,23,24,44,50
2012-05-23,16,27,38,43,54,55
2012-05-26,4,19,28,50,52,55
2012-05-27,12,22,26,36,40,55
2012-05-29,1,22,23,37,44,53
2012-05-30,10,14,20,46,49,51
2012-06-02,4,9,11,13,20,36
2012-06-03,11,21,22,27,30,36
2012-06-06,4,7,14,20,30,45
2012-06-09,5,18,23,27,31,51
2012-06-10,4,11,33,38,41,55
2012-06-13,6,9,16,17,35,47
2012-06-16,15,18,33,38,51,53
2012-06-17,11,17,24,31,36,53
2012-06-20,1,8,15,18,33,44
2012-06-23,1,15,21,33,48,55
2012-06-24,4,16,38,41,42,49
2012-06-26,1,15,16,20,29,39
2012-06-27,3,7,20,33,35,37
2012-06-30,13,14,31,41,45,55
2012-07-01,20,21,24,32,43,46
2012-07-03,12,23,28,41,52,53
2012-07-04,8,21,24,40,44,49
2012-07-07,1,33,44,46,49,52
2012-07-08,19,26,27,30,31,33
2012-07-11,3,4,6,20,26,36
2012-07-14,4,7,17,27,29,40
2012-07-15,2,8,9,13,32,43
2012-07-17,9,33,38,43,46,53
2012-07-18,15,37,43,45,46,48
2012-07-21,16,22,36,50,51,52
2012-07-22,3,6,14,28,29,37
2012-07-25,17,18,21,49,50,54
2012-07-28,6,8,12,30,52,53
2012-07-29,5,14,17,20,35,48
2012-08-01,8,13,26,29,46,55
2012-08-04,2,3,34,36,44,49
2012-08-05,3,6,14,40,47,53
2012-08-08,8,22,26,52,54,55
2012-08-11,13,14,21,29,30,50
2012-08-12,17,21,23,27,37,45
2012-08-15,18,21,22,36,37,38
2012-08-18,11,14,30,35,36,53
2012-08-19,20,25,27,28,33,48
2012-08-22,3,9,13,15,23,34
2012-08-25,5,19,29,36,47,54
2012-08-26,1,28,32,35,45,48
2012-08-28,9,17,28,37,44,45
2012-08-29,18,21,28,44,50,55
2012-09-01,10,14,16,19,22,53
2012-09-02,11,12,26,33,37,51
2012-09-04,3,5,11,14,36,49
2012-09-05,1,6,15,26,30,47
2012-09-08,4,17,26,41,50,51
2012-09-09,5,9,25,46,49,55
2012-09-12,3,22,39,42,45,53
2012-09-15,11,12,19,22,28,39
2012-09-16,8,11,14,22,30,49
2012-09-18,3,6,27,35,42,44
2012-09-19,10,12,14,20,26,53
2012-09-22,17,20,21,28,30,46
2012-09-23,1,4,5,30,33,40
2012-09-26,2,4,14,26,49,51
2012-09-29,2,8,16,22,32,46
2012-09-30,3,24,30,46,48,51
2012-10-02,27,29,33,35,41,49
2012-10-03,18,27,29,37,41,46
2012-10-06,1,16,20,30,31,50
2012-10-07,33,35,39,44,47,52
2012-10-10,6,14,34,41,46,48
2012-10-13,5,33,34,36,41,47
2012-10-14,4,11,18,21,37,40
2012-10-17,1,5,12,19,30,53
2012-10-20,1,10,15,17,21,49
2012-10-21,7,11,39,41,45,52
2012-10-24,4,6,19,21,29,48
2012-10-27,11,13,22,48,51,55
2012-10-28,2,13,14,25,31,32
2012-10-30,9,11,21,22,32,49
2012-10-31,20,27,31,42,43,50
2012-11-03,1,14,16,18,23,39
2012-11-04,6,13,18,38,39,43
2012-11-07,15,17,18,25,35,54
2012-11-10,12,17,30,33,36,48
2012-11-11,2,12,19,35,49,50
2012-11-13,14,20,28,30,37,50
2012-11-14,20,25,28,33,35,41
2012-11-17,11,14,18,37,40,41
2012-11-18,19,21,22,23,36,42
2012-11-21,5,18,41,48,52,54
2012-11-24,10,16,20,39,45,52
2012-11-25,5,19,24,30,35,53
2012-11-27,14,32,33,38,43,55
2012-11-28,14,21,27,33,36,43
2012-12-01,7,15,20,22,29,36
2012-12-02,5,9,18,22,38,54
2012-12-04,11,13,14,34,37,42
2012-12-05,11,13,16,42,46,53
2012-12-08,1,5,16,26,27,45
2012-12-09,5,11,14,28,34,42
2012-12-12,5,22,23,39,41,47
2012-12-15,25,29,37,48,50,54
2012-12-16,9,37,42,44,47,48
2012-12-18,21,23,28,34,38,50
2012-12-19,9,10,18,35,39,48
2012-12-22,6,10,21,34,50,53
2012-12-23,2,4,28,42,51,52
2012-12-26,8,9,14,38,44,45
2012-12-29,1,18,22,31,38,50
2012-12-30,6,33,37,38,39,51
2013-01-02,14,27,31,33,47,54
2013-01-05,3,22,31,34,42,45
2013-01-06,1,3,28,30,50,54
2013-01-08,2,10,38,39,53,55
2013-01-09,4,10,35,36,43,46
2013-01-12,2,7,15,36,50,53
2013-01-13,8,24,30,53,54,55
2013-01-16,10,11,34,41,45,47
2013-01-19,9,13,33,36,39,43
2013-01-20,1,21,23,32,35,43
2013-01-22,20,34,44,47,52,55
2013-01-23,6,8,14,20,43,50
2013-01-26,15,16,18,19,32,44
2013-01-27,4,21,34,38,44,54
2013-01-30,7,19,22,32,37,44
2013-02-02,6,15,22,42,46,50
2013-02-03,17,21,27,34,37,47
2013-02-05,13,27,33,34,35,47
2013-02-06,6,16,22,42,44,46
2013-02-09,7,10,20,37,38,53
2013-02-10,1,5,10,45,50,55
2013-02-12,3,10,20,24,25,38
2013-02-13,1,2,31,36,43,49
2013-02-16,9,12,21,25,30,35
2013-02-17,5,17,19,24,26,43
2013-02-19,9,22,26,32,33,50
2013-02-20,12,22,26,31,38,45
2013-02-23,9,26,29,41,48,55
2013-02-24,13,18,22,28,33,51
2013-02-27,1,2,9,27,41,43
2013-03-02,1,6,12,13,19,39
2013-03-03,14,30,31,39,48,54
2013-03-05,1,6,8,13,19,51
2013-03-06,2,13,17,18,24,33
2013-03-09,13,23,27,29,32,40
2013-03-10,1,3,9,38,46,48
2013-03-13,7,11,26,33,37,47
2013-03-16,8,12,19,38,50,55
2013-03-17,3,15,16,29,30,35
2013-03-20,4,10,14,19,32,33
2013-03-23,3,21,22,23,37,44
2013-03-24,19,30,34,36,46,51
2013-03-26,9,15,20,35,40,41
2013-03-27,3,5,29,34,40,53
2013-03-30,7,14,20,33,37,45
2013-03-31,6,15,23,35,40,47
2013-04-02,12,35,39,42,43,50
2013-04-03,1,4,7,16,19,32
2013-04-06,12,23,27,32,54,55
2013-04-07,7,20,25,37,42,45
2013-04-10,7,21,31,32,34,44
2013-04-13,28,33,37,46,47,54
2013-04-14,11,24,31,43,44,48
2013-04-17,10,35,37,38,50,52
2013-04-20,2,8,24,35,36,44
2013-04-21,3,5,12,21,40,45
2013-04-24,3,5,15,25,32,36
2013-04-27,11,30,31,47,48,49
2013-04-28,2,27,31,44,48,51
2013-04-30,2,12,33,39,50,55
2013-05-01,7,13,27,46,54,55
2013-05-04,17,22,37,38,44,55
2013-05-05,1,6,12,42,43,47
2013-05-07,1,18,22,23,27,42
2013-05-08,3,14,21,41,48,54
2013-05-11,8,9,19,28,43,46
2013-05-12,4,5,20,47,48,51
2013-05-15,4,9,25,34,35,44
2013-05-18,4,8,16,47,49,52
2013-05-19,30,35,41,47,50,51
2013-05-22,13,17,30,44,47,51
2013-05-25,2,16,32,46,52,54
2013-05-26,5,9,26,32,49,53
2013-05-28,6,8,21,31,32,45
2013-05-29,5,11,19,23,38,40
2013-06-01,15,42,45,46,51,54
2013-06-02,8,10,15,20,35,54
2013-06-05,6,20,22,25,39,43
2013-06-08,6,11,20,26,37,47
2013-06-09,6,13,22,26,43,53
2013-06-12,1,33,38,48,49,54
2013-06-15,23,28,29,30,31,37
2013-06-16,4,8,10,17,24,52
2013-06-19,1,6,7,26,42,55
2013-06-22,3,10,17,27,38,42
2013-06-23,9,22,33,34,47,49
2013-06-25,1,18,20,28,38,45
2013-06-26,5,7,11,16,19,20
2013-06-29,2,4,14,23,30,36
2013-06-30,3,15,26,48,50,54
2013-07-02,2,19,29,32,35,39
2013-07-03,3,11,19,27,39,48
2013-07-06,5,15,35,36,37,42
2013-07-07,4,6,10,24,40,55
2013-07-10,5,22,29,43,44,47
2013-07-13,11,20,39,41,42,43
2013-07-14,2,8,17,24,44,49
2013-07-17,6,15,17,31,43,46
2013-07-20,6,7,13,21,30,34
2013-07-21,10,19,24,28,51,53
2013-07-24,12,15,33,46,47,55
2013-07-27,12,24,25,33,45,51
2013-07-28,2,14,15,19,47,50
2013-07-31,5,15,16,18,21,32
2013-08-03,24,28,35,36,42,43
2013-08-04,22,25,34,35,37,46
2013-08-07,5,9,10,12,32,35
2013-08-10,11,16,19,25,26,46
2013-08-11,9,22,23,30,35,37
2013-08-13,4,15,17,24,40,54
2013-08-14,2,14,22,31,34,39
2013-08-17,7,15,23,33,41,49
2013-08-18,5,9,12,16,50,51
2013-08-21,4,19,22,25,33,46
2013-08-24,1,24,36,48,52,53
2013-08-25,6,15,22,32,39,49
2013-08-27,12,19,29,46,52,53
2013-08-28,6,29,34,35,37,54
2013-08-31,9,23,26,29,40,46
2013-09-01,4,5,14,15,39,53
2013-09-03,7,27,33,47,48,52
2013-09-04,7,13,17,19,35,49
2013-09-07,9,20,31,39,40,43
2013-09-08,9,10,36,38,41,51
2013-09-11,15,16,24,33,34,35
2013-09-14,4,8,9,21,29,35
2013-09-15,3,10,14,34,39,49
2013-09-18,6,7,11,24,49,50
2013-09-21,6,8,11,18,23,49
2013-09-22,18,22,45,46,50,55
2013-09-25,6,20,38,45,46,49
2013-09-28,6,11,44,47,48,49
2013-09-29,5,21,27,35,46,49
2013-10-01,3,6,25,30,35,50
2013-10-02,3,34,35,43,49,52
2013-10-05,2,35,37,38,41,50
2013-10-06,24,39,45,46,47,55
2013-10-09,22,28,30,33,34,41
2013-10-12,1,4,10,17,46,53
2013-10-13,14,24,29,32,37,45
2013-10-16,5,10,20,27,34,54
2013-10-19,12,21,36,37,54,55
2013-10-20,7,10,23,25,35,50
2013-10-23,2,3,15,17,29,45
2013-10-26,1,12,25,38,47,50
2013-10-27,13,22,23,43,49,54
2013-10-29,10,29,40,44,45,50
2013-10-30,3,7,15,31,38,42
2013-11-02,6,10,14,18,38,54
2013-11-03,31,41,45,46,49,52
2013-11-05,1,16,23,32,33,46
2013-11-06,4,12,17,21,27,41
2013-11-09,2,11,33,35,48,50
2013-11-10,16,23,45,46,49,55
2013-11-13,14,18,40,47,50,51
2013-11-16,3,4,16,17,18,21
2013-11-17,19,26,32,33,39,47
2013-11-20,4,5,12,33,38,39
2013-11-23,5,7,10,23,37,55
2013-11-24,12,30,40,49,51,55
2013-11-26,5,7,20,32,36,52
2013-11-27,1,4,14,15,27,53
2013-11-30,4,10,16,40,48,50
2013-12-01,10,26,32,39,45,55
2013-12-03,12,21,29,30,35,47
2013-12-04,3,4,22,25,47,54
2013-12-07,6,13,28,31,32,33
2013-12-08,2,5,8,9,17,37
2013-12-11,15,17,31,45,46,54
2013-12-14,16,17,28,39,47,54
